Messstellennummer,Decade,Decade_Label,Month,Label,Monatsmittelwert_Pegelstand_m_NHN,q05,q95
5800106,2010,2010 - 2019,01,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.47983870967742,37.440000000000005,37.52
5800106,2010,2010 - 2019,02,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.47591715976332,37.440000000000005,37.510000000000005
5800106,2010,2010 - 2019,03,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.48672043010753,37.46,37.52
5800106,2010,2010 - 2019,04,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.47805555555556,37.43000000000001,37.56
5800106,2010,2010 - 2019,05,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.45623655913979,37.39,37.557500000000005
5800106,2010,2010 - 2019,06,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.43066666666667,37.3095,37.5
5800106,2010,2010 - 2019,07,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.41698924731183,37.290000000000006,37.542500000000004
5800106,2010,2010 - 2019,08,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.39064516129033,37.21,37.5
5800106,2010,2010 - 2019,09,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.36755555555556,37.11000000000001,37.4805
5800106,2010,2010 - 2019,10,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.39763440860215,37.14,37.510000000000005
5800106,2010,2010 - 2019,11,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.429476190476194,37.2045,37.53
5800106,2010,2010 - 2019,12,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.47253456221198,37.38,37.53
5800106,2020,2020 - 2029,01,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.43645161290323,37.370000000000005,37.493
5800106,2020,2020 - 2029,02,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.44591549295775,37.370000000000005,37.510000000000005
5800106,2020,2020 - 2029,03,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.43677419354839,37.370000000000005,37.493
5800106,2020,2020 - 2029,04,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.43188976377953,37.36000000000001,37.487
5800106,2020,2020 - 2029,05,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.405967741935484,37.36000000000001,37.49
5800106,2020,2020 - 2029,06,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.338833333333334,37.219500000000004,37.4805
5800106,2020,2020 - 2029,07,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.40443548387097,37.300000000000004,37.49
5800106,2020,2020 - 2029,08,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.3708870967742,37.260000000000005,37.470000000000006
5800106,2020,2020 - 2029,09,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.36508333333334,37.2095,37.470000000000006
5800106,2020,2020 - 2029,10,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.42645161290323,37.370000000000005,37.480000000000004
5800106,2020,2020 - 2029,11,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.43108333333334,37.400000000000006,37.5
5800106,2020,2020 - 2029,12,"Schäfersee (Schäfersee, id: 5800106, fluss-km: NA)",37.43040322580646,37.370000000000005,37.4985
5800107,1960,1960 - 1969,01,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.66559139784946,31.6,31.741000000000003
5800107,1960,1960 - 1969,02,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.658543307086614,31.6,31.740000000000002
5800107,1960,1960 - 1969,03,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.66741935483871,31.6,31.75
5800107,1960,1960 - 1969,04,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.647074074074073,31.59,31.73
5800107,1960,1960 - 1969,05,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.646487455197132,31.6,31.7
5800107,1960,1960 - 1969,06,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.62925925925926,31.57,31.695499999999996
5800107,1960,1960 - 1969,07,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.637706093189966,31.56,31.751
5800107,1960,1960 - 1969,08,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.626272401433692,31.57,31.68
5800107,1960,1960 - 1969,09,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.62911111111111,31.57,31.740000000000002
5800107,1960,1960 - 1969,10,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.62347670250896,31.57,31.72
5800107,1960,1960 - 1969,11,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.64796666666667,31.57,31.72
5800107,1960,1960 - 1969,12,"Am Wolfsschluchtkanal (Krumme Lanke, id: 5800107, fluss-km: NA)",31.663064516129033,31.6045,31.72
